temp,seed,activity,entropy,live,tau_int,xi
0.6,0,0.0,0.0,0.0,19.388952986089215,0.0
0.6,1,0.0,0.0,0.0,18.73769513525822,0.0
0.6,2,0.0,0.0,0.0,22.72244352539229,0.0
0.7,0,0.0,0.0,0.0,19.33560626413463,0.0
0.7,1,0.0,0.0,0.0,23.51169040421604,0.0
0.7,2,0.0,0.0,0.0,22.8814457164063,0.0
0.8,0,0.0,0.0,0.0,26.39073723340339,0.0
0.8,1,0.0,0.0,0.0,25.901058721672204,0.0
0.8,2,0.0,0.0,0.0,24.968190592848117,0.0
0.9,0,0.0,0.0,0.0,27.297977914448207,0.0
0.9,1,0.0,0.0,0.0,27.411242045081384,0.0
0.9,2,0.0,0.0,0.0,26.99905389698838,0.0
1.0,0,0.0,0.0,0.0,28.417519034951617,0.0
1.0,1,0.0,0.0,0.0,27.961411317137816,0.0
1.0,2,0.0,0.0,0.0,28.340454017444024,0.0
1.1,0,0.0,0.0,0.0,28.780630969525397,0.0
1.1,1,0.0,0.0,0.0,28.514031909626148,0.0
1.1,2,0.0,0.0,0.0,28.562244214976833,0.0
1.2,0,0.0,0.0,0.0,29.293702421447698,0.0
1.2,1,0.0,0.0,0.0,28.806610813362624,0.0
1.2,2,0.0,0.0,0.0,28.82314813066415,0.0
1.3,0,0.0014204545454545455,0.009485089876929934,0.0011261261261261261,29.775983551867228,3.0
1.3,1,0.0,0.0,0.0,29.48383500324352,0.0
1.3,2,0.0,0.0,0.0,29.00057949325123,0.0
1.4,0,0.007386363636363636,0.0466919583172976,0.005560247747747747,29.5740255466942,6.0
1.4,1,0.006392045454545455,0.03786184642064478,0.0045045045045045045,29.544197168619768,6.0
1.4,2,0.009517045454545455,0.056733315946975914,0.006756756756756757,29.92100396571366,8.0
1.5,0,0.005397727272727273,0.03724569226607134,0.0044341216216216214,29.37086592846822,6.0
1.5,1,0.006321022727272727,0.03609845110656965,0.004293355855855856,29.438003852031876,6.0
1.5,2,0.005326704545454545,0.03431191396903213,0.004082207207207207,29.36473745634042,5.0
1.6,0,0.008238636363636363,0.051393860745296956,0.006123310810810811,29.70162934942428,7.0
1.6,1,0.006463068181818182,0.04138611888887518,0.004926801801801802,29.554260666269485,6.0
1.6,2,0.006321022727272727,0.036094268679267315,0.004293355855855856,29.495214742691736,6.0
1.7,0,0.008948863636363637,0.0643302743394176,0.007671734234234234,29.78086738786,7.0
1.7,1,0.010369318181818183,0.07844623001118714,0.009360923423423423,30.005658304169835,8.0
1.7,2,0.007883522727272727,0.058445215237059894,0.006967905405405405,29.686704685380214,7.0
1.8,0,0.009659090909090909,0.07491640061350317,0.008938626126126127,29.84488765168635,7.0
1.8,1,0.010369318181818183,0.08428603665510322,0.010064752252252252,29.99531612986464,8.0
1.8,2,0.007954545454545454,0.06021030473130689,0.0071790540540540545,29.688352752907896,7.0
