readout,dim,MC_mean,MC_std
pca2,92,0.20667700313875342,0.01919672774238984
pca4,184,0.25823240909314293,0.029457557153012792
pca8,368,0.3992933317264659,0.0013765271379610478
pca16,736,0.4331055484344994,0.02403188137641271
pca32,1472,0.4665217132387746,0.02787674347124819
onehot_top48,2254,0.37463116824482284,0.03484344814993018
