generation,mean_hamming,std_hamming
0,1.0,0.0
1,6.5,1.707825127659933
2,17.916666666666668,4.030267429781249
3,28.083333333333332,4.821105221373576
4,34.666666666666664,4.818944098266987
5,37.25,4.674844025918583
6,39.583333333333336,4.821105221373576
7,42.0,2.3804761428476167
8,43.166666666666664,3.435921354681384
9,45.25,3.3197640478403483
10,46.333333333333336,2.7788886667555115
11,46.333333333333336,2.4608038433722337
12,46.416666666666664,3.2776600732161896
13,46.666666666666664,2.1343747458109497
14,47.083333333333336,1.552328000849763
15,47.0,1.5275252316519468
16,47.0,1.5275252316519468
17,47.416666666666664,0.9537935951882998
18,47.25,1.1636866703140785
19,47.666666666666664,0.8498365855987975
20,47.583333333333336,0.9537935951882998
21,47.833333333333336,0.37267799624996495
22,47.583333333333336,0.9537935951882996
23,48.0,0.0
24,47.5,1.3844373104863459
25,47.75,0.5951190357119042
26,47.75,0.82915619758885
27,48.0,0.0
28,47.916666666666664,0.27638539919628335
29,48.0,0.0
30,48.0,0.0
31,47.916666666666664,0.27638539919628335
32,48.0,0.0
33,47.833333333333336,0.372677996249965
34,47.916666666666664,0.27638539919628335
35,48.0,0.0
36,48.0,0.0
37,48.0,0.0
38,48.0,0.0
39,47.916666666666664,0.27638539919628335
40,47.916666666666664,0.27638539919628335
41,47.833333333333336,0.5527707983925665
42,47.833333333333336,0.372677996249965
43,48.0,0.0
44,47.833333333333336,0.5527707983925665
45,47.916666666666664,0.27638539919628335
46,48.0,0.0
47,47.916666666666664,0.27638539919628335
48,47.833333333333336,0.5527707983925665
49,47.916666666666664,0.27638539919628335
50,47.75,0.82915619758885
51,47.666666666666664,1.1055415967851332
52,47.666666666666664,1.1055415967851332
53,47.916666666666664,0.27638539919628335
54,47.916666666666664,0.27638539919628335
55,48.0,0.0
56,47.833333333333336,0.5527707983925665
57,47.666666666666664,1.1055415967851332
58,47.75,0.82915619758885
59,47.583333333333336,1.381926995981417
60,47.833333333333336,0.5527707983925665
61,47.916666666666664,0.27638539919628335
62,48.0,0.0
63,47.833333333333336,0.5527707983925665
64,47.833333333333336,0.5527707983925665
65,47.583333333333336,1.381926995981417
66,47.75,0.82915619758885
67,47.75,0.82915619758885
68,47.833333333333336,0.5527707983925665
69,47.416666666666664,1.9346977943739827
70,47.75,0.82915619758885
71,47.5,1.6583123951777
72,47.666666666666664,1.1055415967851332
73,47.333333333333336,2.211083193570267
74,47.5,1.6583123951777
75,47.333333333333336,2.211083193570267
76,47.583333333333336,1.381926995981417
77,47.5,1.6583123951777
78,47.666666666666664,1.1055415967851332
79,47.416666666666664,1.9346977943739827
80,47.75,0.82915619758885
81,47.583333333333336,1.381926995981417
82,47.75,0.82915619758885
83,47.75,0.82915619758885
84,47.75,0.82915619758885
85,47.25,2.48746859276655
86,47.583333333333336,1.381926995981417
87,47.583333333333336,1.381926995981417
88,47.666666666666664,1.1055415967851332
89,47.416666666666664,1.9346977943739827
90,47.583333333333336,1.381926995981417
91,47.583333333333336,1.381926995981417
92,47.333333333333336,2.211083193570267
93,47.166666666666664,2.763853991962832
94,47.25,2.48746859276655
95,47.0,3.3166247903554
96,46.916666666666664,3.5930101895516833
97,47.166666666666664,2.763853991962832
98,47.25,2.48746859276655
99,47.0,3.3166247903554
100,47.166666666666664,2.763853991962832
101,47.0,3.0276503540974917
102,47.25,2.48746859276655
103,47.083333333333336,3.0402393911591163
104,47.166666666666664,2.763853991962832
105,47.333333333333336,2.211083193570267
106,47.083333333333336,3.0402393911591163
107,47.166666666666664,2.763853991962832
108,47.5,1.6583123951777
109,47.166666666666664,2.763853991962832
110,47.333333333333336,2.211083193570267
111,47.25,2.48746859276655
112,47.166666666666664,2.763853991962832
113,47.166666666666664,2.763853991962832
114,47.083333333333336,3.0402393911591163
115,47.083333333333336,3.0402393911591163
116,47.333333333333336,2.211083193570267
117,46.916666666666664,3.5930101895516833
118,47.083333333333336,3.0402393911591163
119,47.25,2.48746859276655
120,47.25,2.48746859276655
