pair,init_seed,noise_seed,perturb_site,final_hamming,peak_hamming,time_to_peak,short_lam,late_damage,sustained_zero,sync_time,model,model_tag,arch,window,temp,L,steps,pairs,absorbing
0,3,11,1,0.0,14.0,6,0.43984288826920975,0.0,1,17,distilroberta-base,distilroberta-base,local,2,1.4,48,100,16,0
1,5003,5011,8,0.0,20.0,17,0.19459101490553132,0.0,1,32,distilroberta-base,distilroberta-base,local,2,1.4,48,100,16,0
2,10003,10011,15,0.0,3.0,2,0.5493061443340549,0.0,1,7,distilroberta-base,distilroberta-base,local,2,1.4,48,100,16,0
3,15003,15011,22,0.0,5.0,6,0.26823965207235007,0.0,1,9,distilroberta-base,distilroberta-base,local,2,1.4,48,100,16,0
4,20003,20011,29,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,2,1.4,48,100,16,0
5,25003,25011,36,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,2,1.4,48,100,16,0
6,30003,30011,43,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,2,1.4,48,100,16,0
7,35003,35011,2,0.0,12.0,5,0.4969813299576001,0.0,1,12,distilroberta-base,distilroberta-base,local,2,1.4,48,100,16,0
8,40003,40011,9,0.0,18.0,47,0.24849066497880004,0.0,1,65,distilroberta-base,distilroberta-base,local,2,1.4,48,100,16,0
9,45003,45011,16,0.0,1.0,0,0.0,0.0,1,2,distilroberta-base,distilroberta-base,local,2,1.4,48,100,16,0
10,50003,50011,23,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,2,1.4,48,100,16,0
11,55003,55011,30,0.0,1.0,0,0.0,0.0,1,2,distilroberta-base,distilroberta-base,local,2,1.4,48,100,16,0
12,60003,60011,37,0.0,1.0,0,0.0,0.0,1,2,distilroberta-base,distilroberta-base,local,2,1.4,48,100,16,0
13,65003,65011,44,0.0,4.0,5,0.2772588722239781,0.0,1,9,distilroberta-base,distilroberta-base,local,2,1.4,48,100,16,0
14,70003,70011,3,0.0,7.0,1,1.9459101490553132,0.0,1,14,distilroberta-base,distilroberta-base,local,2,1.4,48,100,16,0
15,75003,75011,10,0.0,1.0,0,0.0,0.0,1,3,distilroberta-base,distilroberta-base,local,2,1.4,48,100,16,0
0,3,11,1,0.0,11.0,4,0.5994738181995927,0.0,1,13,distilroberta-base,distilroberta-base,local,2,1.5,48,100,16,0
1,5003,5011,8,0.0,3.0,2,0.5493061443340549,0.0,1,4,distilroberta-base,distilroberta-base,local,2,1.5,48,100,16,0
2,10003,10011,15,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,2,1.5,48,100,16,0
3,15003,15011,22,0.0,2.0,3,0.23104906018664842,0.0,1,7,distilroberta-base,distilroberta-base,local,2,1.5,48,100,16,0
4,20003,20011,29,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,2,1.5,48,100,16,0
5,25003,25011,36,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,2,1.5,48,100,16,0
6,30003,30011,43,0.0,1.0,0,0.0,0.0,1,1,distilroberta-base,distilroberta-base,local,2,1.5,48,100,16,0
7,35003,35011,2,0.0,16.0,50,0.16094379124341002,0.034722222222222224,1,87,distilroberta-base,distilroberta-base,local,2,1.5,48,100,16,0
8,40003,40011,9,0.0,3.0,2,0.5493061443340549,0.0,1,6,distilroberta-base,distilroberta-base,local,2,1.5,48,100,16,0
9,45003,45011,16,0.0,1.0,0,0.0,0.0,1,2,distilroberta-base,distilroberta-base,local,2,1.5,48,100,16,0
10,50003,50011,23,0.0,1.0,0,0.0,0.0,1,2,distilroberta-base,distilroberta-base,local,2,1.5,48,100,16,0
11,55003,55011,30,0.0,2.0,1,0.6931471805599453,0.0,1,7,distilroberta-base,distilroberta-base,local,2,1.5,48,100,16,0
12,60003,60011,37,0.0,1.0,0,0.0,0.0,1,2,distilroberta-base,distilroberta-base,local,2,1.5,48,100,16,0
13,65003,65011,44,0.0,5.0,2,0.8047189562170501,0.0,1,6,distilroberta-base,distilroberta-base,local,2,1.5,48,100,16,0
14,70003,70011,3,0.0,14.0,30,0.16094379124341002,0.0,1,44,distilroberta-base,distilroberta-base,local,2,1.5,48,100,16,0
15,75003,75011,10,0.0,2.0,2,0.34657359027997264,0.0,1,3,distilroberta-base,distilroberta-base,local,2,1.5,48,100,16,0
