penalty,temp,activity,entropy,live,tau_int,xi
0.0,0.2,0.6733796296296295,2.3873007378933737,0.54132326007326,1.8640750672668194,1.0
0.0,0.4,0.6972800925925926,2.587106916386503,0.5235805860805861,2.2561399455337385,1.0
0.0,0.6,0.7338541666666667,3.091265706976476,0.523294413919414,2.143250707186051,1.0
0.0,0.8,0.8271412037037038,4.271176540692483,0.6051968864468864,1.4665210137005409,1.0
0.0,1.0,0.9851273148148147,6.042149720502764,0.8823260073260073,2.3280732559009976,1.0
0.0,1.2,0.998900462962963,6.503499641843901,0.9717834249084251,0.7932098765432118,1.0
0.0,1.4,0.9997106481481481,6.56119170673464,0.9884386446886446,0.5568627450980438,0.5
0.0,1.6,0.9999421296296297,6.577178617937276,0.9964514652014652,0.44194756554307535,0.5
0.5,0.2,0.9890625,4.400724923290129,0.9443108974358974,1.5244246701160535,1.0
0.5,0.4,0.9929398148148147,5.0032704769038485,0.9420215201465202,0.8181346233260589,1.0
0.5,0.6,0.9954282407407407,5.82280059546572,0.9510645604395604,0.7985169288317664,1.0
0.5,0.8,0.9976851851851852,6.259333622333914,0.9610805860805861,0.6993832731648648,1.0
0.5,1.0,0.9986111111111111,6.461005791847954,0.9737293956043958,0.9961276127612806,1.0
0.5,1.2,0.9992476851851853,6.540038548822611,0.984775641025641,1.092743764172333,1.0
0.5,1.4,0.9998263888888889,6.5677186698766565,0.9918727106227105,0.35823754789271917,0.5
0.5,1.6,0.9998842592592594,6.577249881244157,0.996680402930403,0.8838951310861507,1.0
1.0,0.2,0.9982060185185186,4.026159261367118,0.9648008241758242,0.6359208775090798,1.0
1.0,0.4,0.9976851851851851,4.78820854550932,0.9630265567765568,0.7509255068416227,1.0
1.0,0.6,0.9986689814814814,5.782267011374117,0.9694940476190476,0.7188888061738512,1.0
1.0,0.8,0.9984953703703703,6.314428635233268,0.9760760073260075,0.9199781287483851,1.0
1.0,1.0,0.9996527777777777,6.485315439187017,0.9824862637362637,0.7720669411169947,1.0
1.0,1.2,0.9994212962962963,6.545995405509576,0.9876945970695971,0.8280101298452827,1.0
1.0,1.4,0.9998842592592593,6.571025357005252,0.9938186813186813,0.38257575757575873,0.5
1.0,1.6,0.9998842592592594,6.577936694430971,0.9969093406593407,0.8838951310861507,1.0
1.5,0.2,0.9994791666666667,3.77487259958466,0.9721840659340659,0.8215889532154632,1.0
1.5,0.4,0.9993055555555554,4.634452635287614,0.976419413919414,0.7532992762877843,1.0
1.5,0.6,0.9991898148148147,5.743766923007286,0.9768772893772895,0.8275962236746488,1.0
1.5,0.8,0.9993055555555554,6.319003695617793,0.9816849816849815,1.2433375904640256,1.0
1.5,1.0,0.9997106481481481,6.4935055576647684,0.986607142857143,0.9752960640891652,1.0
1.5,1.2,0.9997685185185186,6.55100397779691,0.9899839743589745,0.4717054263565927,0.5
1.5,1.4,0.9998842592592593,6.572485394494052,0.9945054945054944,0.38257575757575873,0.5
1.5,1.6,0.9999421296296297,6.577593287837566,0.9968521062271063,0.44194756554307535,0.5
2.0,0.2,0.9995949074074074,3.828105929727104,0.9759615384615385,0.8648266951795387,1.0
2.0,0.4,0.9998842592592594,4.562440991454903,0.9787660256410255,0.8838951310861507,1.0
2.0,0.6,0.9995949074074073,5.627248773320682,0.9808264652014651,0.9015058362291679,1.0
2.0,0.8,0.9995949074074073,6.299245194128527,0.984146062271062,0.6670230776084807,1.0
2.0,1.0,0.9995949074074075,6.49168424731133,0.9890682234432233,0.7126951331496817,1.0
2.0,1.2,0.9999421296296297,6.554066579388275,0.9922161172161171,0.44194756554307535,0.5
2.0,1.4,0.9999421296296297,6.57265597885711,0.9954212454212453,0.44194756554307535,0.5
2.0,1.6,0.9999421296296297,6.577593287837564,0.9971382783882785,0.44194756554307535,0.5
