temp,system,k,mc_k,alpha_k,MC,readout_dim,eff_rank
0.3,reservoir,0,0.22965775933866117,100.0,0.22965775933866117,368,368
0.3,reservoir,1,0.0,100.0,0.22965775933866117,368,368
0.3,reservoir,2,0.0,100.0,0.22965775933866117,368,368
0.3,reservoir,3,0.0,100.0,0.22965775933866117,368,368
0.3,reservoir,4,0.0,100.0,0.22965775933866117,368,368
0.3,reservoir,5,0.0,100.0,0.22965775933866117,368,368
0.3,reservoir,6,0.0,100.0,0.22965775933866117,368,368
0.3,reservoir,7,0.0,100.0,0.22965775933866117,368,368
0.3,reservoir,8,0.0,100.0,0.22965775933866117,368,368
0.3,reservoir,9,0.0,100.0,0.22965775933866117,368,368
0.3,reservoir,10,0.0,100.0,0.22965775933866117,368,368
0.3,reservoir,11,0.0,100.0,0.22965775933866117,368,368
0.3,reservoir,12,0.0,100.0,0.22965775933866117,368,368
0.3,reservoir,13,0.0,100.0,0.22965775933866117,368,368
0.3,reservoir,14,0.0,100.0,0.22965775933866117,368,368
0.3,reservoir,15,0.0,100.0,0.22965775933866117,368,368
0.3,reservoir,16,0.0,100.0,0.22965775933866117,368,368
0.3,reservoir,17,0.0,100.0,0.22965775933866117,368,368
0.3,reservoir,18,0.0,100.0,0.22965775933866117,368,368
0.3,reservoir,19,0.0,100.0,0.22965775933866117,368,368
0.3,reservoir,20,0.0,100.0,0.22965775933866117,368,368
0.3,reservoir,21,0.0,100.0,0.22965775933866117,368,368
0.3,reservoir,22,0.0,100.0,0.22965775933866117,368,368
0.3,reservoir,23,0.0,100.0,0.22965775933866117,368,368
0.3,reservoir,24,0.0,100.0,0.22965775933866117,368,368
0.3,reservoir,25,0.0,100.0,0.22965775933866117,368,368
0.3,reservoir,26,0.0,100.0,0.22965775933866117,368,368
0.3,reservoir,27,0.0,100.0,0.22965775933866117,368,368
0.3,reservoir,28,0.0,100.0,0.22965775933866117,368,368
0.3,reservoir,29,0.0,100.0,0.22965775933866117,368,368
0.3,reservoir,30,0.0,100.0,0.22965775933866117,368,368
