system,temp,n_seeds,IPC_d1_inst_mean,IPC_d1_inst_std,IPC_d1_temporal_mean,IPC_d1_temporal_std,IPC_d2_inst_mean,IPC_d2_inst_std,IPC_d2_temporal_mean,IPC_d2_temporal_std,IPC_d3_inst_mean,IPC_d3_inst_std,IPC_d3_temporal_mean,IPC_d3_temporal_std,IPC_d4_inst_mean,IPC_d4_inst_std,IPC_d4_temporal_mean,IPC_d4_temporal_std,IPC_inst_mean,IPC_inst_std,IPC_temporal_mean,IPC_temporal_std,IPC_total_mean,IPC_total_p999_mean,IPC_total_p999_std,IPC_total_p99_mean,IPC_total_p99_std,IPC_total_std,MC_0_mean,MC_0_std,MC_1_mean,MC_1_std,MC_alpha_at_max_signif_mean,MC_alpha_at_max_signif_std,MC_alpha_at_max_signif_sum,MC_inputleak_0_mean,MC_inputleak_0_std,MC_inputleak_1_mean,MC_inputleak_1_std,MC_inputleak_mean,MC_inputleak_std,MC_mean,MC_std,eff_rank_mean,eff_rank_std,input_seed_mean,input_seed_std,ipc_alpha_at_max_signif_mean,ipc_alpha_at_max_signif_std,ipc_alpha_at_max_signif_sum,noise_seed_mean,noise_seed_std,readout_dim_mean,readout_dim_std,surrogate_max_mean,surrogate_max_std,temp_mean,temp_std
linear_esn,,3,0.9999163082824971,6.009500611078894e-06,7.871624309395391,0.007779295477094426,0.0,0.0,0.0,0.0,0.9560276933633328,0.0018911531484476548,45.424243875701656,0.45903938785286313,0.0,0.0,0.0,0.0,1.95594400164583,0.001893573416961748,53.29586818509705,0.46330292585212723,55.25181218674288,55.26217878268567,0.456602064213004,55.28304978824922,0.44569235014453473,0.462191039482403,0.9954840588511707,0.00022277685556933984,0.9950580212179512,0.00014703642183261373,0.0,0.0,0,,,,,,,15.764283028194457,0.2656258913242193,368.0,0.0,11.0,4.0,0.0,0.0,0,778.0,1.0,368.0,0.0,0.013697852309499972,0.0019267329672815192,,
shift_register,,3,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,9.0,9.0,0.0,9.053107282932721,0.04701135266187893,0.0,0.9958977263997539,0.00019593507457433038,0.9958930278187026,0.00020372666862935438,0.0,0.0,0,,,,,,,29.878241532331657,0.004850804632010576,30.0,0.0,11.0,4.0,0.0,0.0,0,778.0,1.0,368.0,0.0,0.012298284629477352,0.0006547932860273999,,
random_token,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002724411776810413,0.004718819618174636,0.02960131842915244,0.007965877382925328,0.0,0.0013023819493089468,0.00225579170706369,0.0,0.0,0.0,0.0,0,,,,,,,0.008838091031265946,0.011903851705624295,368.0,0.0,11.0,4.0,0.0,0.0,0,778.0,1.0,368.0,0.0,0.012976317820854696,0.0028626734438493254,,
reservoir,0.0,3,0.5148097455270927,0.01575945137920935,0.14789200237542818,0.019723571961892356,0.5448429696532289,0.04208817242089387,0.05228819699882081,0.00621570340373143,0.7254837829950906,0.01779086178933319,0.07435400872686848,0.023494141157612412,0.5904486063419263,0.017861116301788424,0.107716110708394,0.026409810063586597,2.3755851045173384,0.08581623878308271,0.3822503188095115,0.014715490645717656,2.7578354233268505,2.771657197898915,0.07764519474008899,2.8020450120122953,0.08387617547938464,0.09478864019346142,0.5069618816177495,0.010893896348913587,0.1168533302455483,0.009563644727411905,0.0,0.0,0,0.7732112357845401,0.019058170535977918,0.0008072634330219541,0.0013982212810864998,0.78389959550567,0.02129563267885346,0.6639907539681439,0.019528017190436474,368.0,0.0,11.0,4.0,0.0,0.0,0,778.0,1.0,368.0,0.0,0.013436899370023014,0.0026955201388116526,0.0,0.0
reservoir,0.3,3,0.2930677332640463,0.011278643929294658,0.11531718522641514,0.0019464992704374046,0.22601790035991812,0.02822758681813763,0.031174264835117982,0.024245801630658533,0.1938928917280773,0.0027817517207278774,0.029767725216537477,0.0047934025286497,0.09858679226141169,0.006864178595884152,0.04140870942157604,0.005223419726006994,0.8115653176134533,0.01964527391522646,0.21766788469964662,0.03296611202869974,1.0292332023131001,1.0292332023131001,0.05020891427366471,1.0628221578311967,0.043162745446344804,0.05020891427366471,0.2913911783196034,0.012501642086891938,0.09939432568164748,0.011847983535333955,0.0,0.0,0,0.5516416565906964,0.008148044782515053,0.0,0.0,0.5563180529984464,0.011711627134902612,0.4135862067952895,0.014934616759248153,368.0,0.0,11.0,4.0,0.0,0.0,0,778.0,1.0,368.0,0.0,0.012186827159700875,0.0011356073410816235,0.3,0.0
reservoir,0.7,3,0.20983094497660149,0.026917329878687262,0.032212749183031374,0.011350104284024679,0.12050415802605507,0.049215682947849,0.019395584283059136,0.006825033927633104,0.1094403690908113,0.023545476004315904,0.005880470207882442,0.010185273172447506,0.04186432034366091,0.0072697995838972695,0.0,0.0,0.4816397924371288,0.03778775444866765,0.057488803673972945,0.006183899228856554,0.5391285961111018,0.5543594501211299,0.028424710691006442,0.5667346090483896,0.03453587240884272,0.03524885037259767,0.20727103259755064,0.027419363077658358,0.03215068774508926,0.011538662874288716,0.0,0.0,0,0.3771796045069782,0.028064208451729494,0.0,0.0,0.3814890012989028,0.030372894358588722,0.25021693641379067,0.020901856781256806,368.0,0.0,11.0,4.0,0.0,0.0,0,778.0,1.0,368.0,0.0,0.012864610203600968,0.001036056792667447,0.6999999999999998,1.3597399555105182e-16
reservoir,1.0,3,0.20593892238868836,0.01473020029573126,0.01648796697708906,0.014876220579770632,0.07889679862699055,0.011639362757725378,0.0,0.0,0.039347329265653465,0.03428664136158166,0.0,0.0,0.01684009163886217,0.015268147784435762,0.004720380605379049,0.008175939039579248,0.34102314192019456,0.0347890666867066,0.021208347582468107,0.0073932049406575375,0.36223148950266265,0.36968784682890554,0.04622806387648219,0.3882691020978739,0.049570815350206646,0.04183032700858394,0.20637530309795785,0.013166843242732845,0.016328819255657434,0.014487985962260303,0.0,0.0,0,0.2947320987410148,0.012738817343541896,0.0010962070927255467,0.0017488101079383416,0.30424210856889405,0.016019871823453168,0.22890201133896984,0.028175955009288354,368.0,0.0,11.0,4.0,0.0,0.0,0,778.0,1.0,368.0,0.0,0.011056681294524676,0.0014990003291831696,1.0,0.0
