temp,seed,activity,entropy,live,tau_int,xi
0.0,0,0.0,0.0,1.0,0.0,0.0
0.0,1,0.0,0.0,1.0,0.0,0.0
0.2,0,0.019097222222222224,0.6990876329598997,1.0,3.154731457800511,1.0
0.2,1,0.0,0.0,1.0,0.0,0.0
0.4,0,0.03888888888888888,0.13622073960845896,1.0,7.180309101316543,3.0
0.4,1,0.0,0.0,1.0,0.0,0.0
0.6,0,0.0,0.0,1.0,0.0,0.0
0.6,1,0.0,0.0,1.0,0.0,0.0
0.8,0,0.03333333333333333,1.3131554697844732,1.0,6.598712446351931,1.0
0.8,1,0.12083333333333333,0.3253763161600035,1.0,0.5839458413926497,1.0
1.0,0,0.0006944444444444444,0.0023949877068874807,1.0,1.4413793103448276,1.0
1.0,1,0.0,0.0,1.0,0.0,0.0
1.2,0,0.6281249999999999,1.928262439891469,1.0,7.705103334669946,1.0
1.2,1,0.99375,5.513820505323684,1.0,2.57526881720431,1.0
1.4,0,0.9416666666666667,1.971813670807583,1.0,3.7900763358778584,1.0
1.4,1,0.9996527777777777,5.572667418753943,1.0,0.8220338983050821,1.0
1.6,0,1.0,5.579498019846838,1.0,0.0,0.0
1.6,1,0.9996527777777777,5.581547200174706,1.0,0.8220338983050821,1.0
