temp,offset,mean_reservoir_hamming
0.3,0,13.933333333333332
0.3,1,25.0
0.3,2,28.599999999999998
0.3,3,31.2
0.3,4,28.666666666666668
0.3,5,31.666666666666668
0.3,6,32.199999999999996
0.3,7,30.46666666666667
0.3,8,30.53333333333333
0.3,9,30.266666666666666
0.3,10,28.53333333333333
0.3,11,25.8
0.3,12,24.399999999999995
0.3,13,24.733333333333334
0.3,14,23.933333333333334
0.3,15,21.2
0.3,16,19.466666666666665
0.3,17,20.333333333333332
0.3,18,18.466666666666665
0.3,19,19.266666666666666
0.3,20,19.866666666666664
0.3,21,20.4
0.3,22,21.400000000000002
0.3,23,19.333333333333332
0.3,24,16.6
0.3,25,14.733333333333334
0.3,26,12.933333333333332
0.3,27,11.4
0.3,28,10.4
0.3,29,9.066666666666666
0.3,30,7.0
0.3,31,6.866666666666666
0.3,32,5.133333333333334
0.3,33,5.333333333333333
0.3,34,5.666666666666667
0.3,35,5.266666666666667
0.3,36,4.2
0.3,37,4.466666666666667
0.3,38,5.733333333333333
0.3,39,5.533333333333334
0.7,0,14.266666666666666
0.7,1,26.266666666666666
0.7,2,29.133333333333336
0.7,3,31.13333333333333
0.7,4,30.8
0.7,5,30.066666666666663
0.7,6,28.066666666666666
0.7,7,28.599999999999998
0.7,8,26.066666666666663
0.7,9,26.266666666666666
0.7,10,23.53333333333333
0.7,11,24.0
0.7,12,24.866666666666664
0.7,13,21.933333333333337
0.7,14,22.0
0.7,15,21.599999999999998
0.7,16,19.933333333333334
0.7,17,18.333333333333332
0.7,18,15.800000000000002
0.7,19,17.933333333333334
0.7,20,17.333333333333336
0.7,21,15.466666666666667
0.7,22,15.800000000000002
0.7,23,13.799999999999999
0.7,24,12.799999999999999
0.7,25,11.066666666666665
0.7,26,9.533333333333333
0.7,27,8.333333333333334
0.7,28,8.133333333333333
0.7,29,6.733333333333333
0.7,30,7.933333333333334
0.7,31,7.3999999999999995
0.7,32,6.466666666666666
0.7,33,5.2
0.7,34,4.066666666666666
0.7,35,3.1999999999999997
0.7,36,2.8000000000000003
0.7,37,2.4666666666666663
0.7,38,2.6666666666666665
0.7,39,2.6666666666666665
