temp,first_m_sites,lag1_capacity_mean
0.3,1,0.0
0.3,2,0.03275821602908324
0.3,4,0.09836916477876301
0.3,8,0.1078357512452669
0.3,16,0.12151795814696205
0.3,46,0.08859442195658429
0.7,1,0.0
0.7,2,0.027405783524344234
0.7,4,0.04377958084308583
0.7,8,0.05058364534299575
0.7,16,0.05073338345445818
0.7,46,0.04321226148392354
