kind,name,cls,h_mu,h_mu_sd,E_raw,E_shuffle,E_excess,E_excess_sd,MI1_bin,MI1_tok,TE_right_bin,live_frac,site_entropy_tok
ref,rule 110,4,0.6534481731381325,0.09711482016072343,1.3775843248668016,0.014343821308243854,1.3632405035585577,0.4191764296956806,0.016339442055313038,0.016339442055313038,0.6204334924838137,0.5663486005089058,0.9872588646575199
ref,rule 54,4,0.6216914170323102,0.050344766383332185,1.244572627499208,0.015583645972761628,1.2289889815264463,0.16472103309167863,0.008261965821308045,0.008261965821308045,0.33709606302005823,0.4734732824427481,0.9979370317751244
ref,rule 30,3,0.9955742786622837,0.0005246510791357406,0.01899447279469113,0.015339551712065802,0.0036549210826253287,0.0016265764753100598,0.0003062749327821064,0.0003062749327821064,0.000291633949255014,0.4981234096692112,0.9999810085851422
ref,rule 90,3,0.9933321045940824,0.00029830988391454927,0.03161622187027113,0.016521122280719114,0.015095099589552019,0.0009361465315766981,2.0685870411135524e-05,2.0685870411135524e-05,7.200502103012537e-05,0.49796437659033077,0.9999633363234937
ref,rule 184,2,0.17636075234376192,0.07277756660057451,0.9575307432561502,0.01716078323036041,0.9403699600257898,0.05755759674181643,0.7552245930878064,0.7552245930878064,0.24102322679651744,0.5291666666666667,0.9962870351994771
ref,rule 250,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ref,rule 0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llm,causal pythia T0.5,?,0.44665904501032194,0.021258041139141565,0.236894680330207,0.012756981068420492,0.2241376992617865,0.02200978729784353,0.06419196487862644,0.3903023895695288,0.003460593741533767,0.8666984732824428,3.829898302468636
llm,causal pythia T1.0,?,0.09906460445512845,0.010800630514002985,0.018207067881286232,0.0024316593759722838,0.015775408505313948,0.015151430106060626,0.0005709396057431483,0.2313893852589599,0.0004861197471062513,0.9862277353689568,7.237040791429417
llm,masked distilR T1.2,?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7128545333738396,0.0,1.0,2.04428375714669
llm,local bert osc pen2,?,0.30192731036344195,0.0,0.7200703126174104,0.017516934013656726,0.7025533786037537,0.0,0.14423358167275685,0.3454489716885461,0.05150892433820473,0.15871501272264632,1.2187112535352551
llm,local bert osc pen2 r3,?,0.3641252947060609,0.0,0.4960930288855634,0.015340640088345125,0.48075238879721827,0.0,0.059689512769822234,0.10321826424192987,0.06495481158202375,0.13505089058524172,1.0709515983040054
llm,local distilR cone r3,?,0.7121934149541126,0.0,0.4337800365896598,0.013600753277991817,0.420179283311668,0.0,0.0015284841596901735,0.7272147444700927,0.0031472357077726026,0.7467557251908397,3.552191093340545
