temp,degree,lag,capacity_mean,capacity_std,floor
0.3,1,0,0.24165306942266596,0.0,0.00759095274788768
0.3,1,1,0.03775527898718589,0.0,0.00759095274788768
0.3,1,2,0.0,0.0,0.00759095274788768
0.3,1,3,0.0,0.0,0.00759095274788768
0.3,1,4,0.0,0.0,0.00759095274788768
0.3,1,5,0.0,0.0,0.00759095274788768
0.3,1,6,0.0,0.0,0.00759095274788768
0.3,2,0,0.1444898351893612,0.0,0.013014295708443369
0.3,2,1,0.0,0.0,0.013014295708443369
0.3,2,2,0.0017262348532580685,0.0,0.013014295708443369
0.3,2,3,0.0,0.0,0.013014295708443369
0.3,2,4,0.0,0.0,0.013014295708443369
0.3,2,5,0.0,0.0,0.013014295708443369
0.3,2,6,0.0,0.0,0.013014295708443369
0.3,3,0,0.13915519200179782,0.0,0.00686726441179919
0.3,3,1,0.03955003875612095,0.0,0.00686726441179919
0.3,3,2,0.0,0.0,0.00686726441179919
0.3,3,3,0.0,0.0,0.00686726441179919
0.3,3,4,0.00622329671229227,0.0,0.00686726441179919
0.3,3,5,0.0,0.0,0.00686726441179919
0.3,3,6,0.0,0.0,0.00686726441179919
