pair,init_seed,noise_seed,perturb_site,final_hamming,peak_hamming,time_to_peak,short_lam,late_damage,sustained_zero,sync_time,model,model_tag,arch,window,temp,L,steps,pairs,absorbing
1,5003,5011,8,48.0,48.0,66,0.4641965083380385,0.9644607843137255,0,,distilroberta-base,distilroberta-base,local,6,1.0,48,80,8,0
2,10003,10011,15,43.0,48.0,13,0.4292484005606433,0.9142156862745098,0,,distilroberta-base,distilroberta-base,local,6,1.0,48,80,8,0
3,15003,15011,22,48.0,48.0,12,0.46720870228542105,1.0,0,,distilroberta-base,distilroberta-base,local,6,1.0,48,80,8,0
4,20003,20011,29,48.0,48.0,8,0.4839001263634864,1.0,0,,distilroberta-base,distilroberta-base,local,6,1.0,48,80,8,0
5,25003,25011,36,46.0,48.0,28,0.4579452057662058,0.954656862745098,0,,distilroberta-base,distilroberta-base,local,6,1.0,48,80,8,0
6,30003,30011,43,47.0,48.0,18,0.47583281122128995,0.9424019607843137,0,,distilroberta-base,distilroberta-base,local,6,1.0,48,80,8,0
7,35003,35011,2,48.0,48.0,25,0.4812684502137573,1.0,0,,distilroberta-base,distilroberta-base,local,6,1.0,48,80,8,0
0,3,11,1,48.0,48.0,23,0.4546982699657982,0.9987745098039215,0,,distilroberta-base,distilroberta-base,local,6,1.2,48,80,8,0
1,5003,5011,8,48.0,48.0,25,0.45136473908052804,0.9963235294117646,0,,distilroberta-base,distilroberta-base,local,6,1.2,48,80,8,0
2,10003,10011,15,0.0,1.0,0,0.0,0.0,1,2,distilroberta-base,distilroberta-base,local,6,1.2,48,80,8,0
3,15003,15011,22,48.0,48.0,35,0.4292484005606433,1.0,0,,distilroberta-base,distilroberta-base,local,6,1.2,48,80,8,0
4,20003,20011,29,48.0,48.0,34,0.46720870228542105,0.9987745098039215,0,,distilroberta-base,distilroberta-base,local,6,1.2,48,80,8,0
5,25003,25011,36,47.0,48.0,54,0.4407950655770202,0.9399509803921569,0,,distilroberta-base,distilroberta-base,local,6,1.2,48,80,8,0
6,30003,30011,43,47.0,48.0,58,0.44793986730701374,0.9914215686274509,0,,distilroberta-base,distilroberta-base,local,6,1.2,48,80,8,0
7,35003,35011,2,47.0,48.0,28,0.4165255637719005,0.9914215686274509,0,,distilroberta-base,distilroberta-base,local,6,1.2,48,80,8,0
