temp,seed,activity,entropy,live,tau_int,xi
0.2,0,0.669247159090909,2.2302426164578435,0.5241413288288288,2.783684110431655,1.0
0.2,1,0.61640625,2.3041263473041136,0.5838963963963963,8.165165545681319,1.0
0.2,2,0.6558238636363637,2.3270943758459266,0.5591920045045045,4.708974072156998,1.0
0.3,0,0.6597301136363637,2.4898712446637865,0.5547578828828829,5.718407296455697,1.0
0.3,1,0.6876420454545454,2.5060325603163722,0.5461007882882883,5.75957528583077,1.0
0.3,2,0.6466619318181818,2.413344825764561,0.5488457207207207,3.0419496724930783,1.0
0.4,0,0.6783380681818182,2.4463455290219325,0.516821509009009,2.880252462198753,1.0
0.4,1,0.6904829545454545,2.4765187369069976,0.5308277027027027,4.164527956849265,1.0
0.4,2,0.6767045454545455,2.5368559419422057,0.537232545045045,1.25520231984732,1.0
0.5,0,0.70078125,2.5576647606966705,0.5141469594594594,3.612314052387245,1.0
0.5,1,0.6748579545454545,2.4983500595103303,0.5144988738738738,2.3982187741313705,1.0
0.5,2,0.6936079545454545,2.666213254307041,0.5318130630630631,2.5142553439171618,1.0
0.6,0,0.70390625,2.7270951723522048,0.5012668918918919,3.3719893637435234,1.0
0.6,1,0.7219460227272727,2.88846597921703,0.5171734234234234,2.7736445593596493,1.0
0.6,2,0.7291193181818182,2.9469483732906805,0.5152730855855856,1.3043319787063956,1.0
0.7,0,0.7458806818181818,3.4410625505722248,0.5211148648648649,0.6751905824397788,1.0
0.7,1,0.7400568181818182,3.4429766254276517,0.5217483108108109,2.136678654305962,1.0
0.7,2,0.7482244318181818,3.447629322136748,0.5297719594594594,4.59270096198646,1.0
0.8,0,0.8121448863636364,4.285444946511742,0.5793918918918919,2.8931034209396804,1.0
0.8,1,0.8061789772727272,4.244877113423655,0.5738316441441441,1.8207056307008407,1.0
0.8,2,0.8036931818181818,4.244094227479049,0.5722832207207207,1.1792567875963555,1.0
0.9,0,0.8818181818181818,5.037765179954108,0.6671593468468469,4.1357003544595745,1.0
0.9,1,0.8816761363636364,5.0314694651374605,0.6653293918918919,7.172664034087632,1.0
0.9,2,0.8808238636363637,5.015820954875055,0.6638513513513513,1.9669674356113411,1.0
1.0,0,0.9872869318181818,6.463091340667487,0.8921030405405406,1.5836592413830477,1.0
1.0,1,0.9857244318181818,6.388381421529107,0.8818271396396397,8.153463827239046,1.0
1.0,2,0.9887784090909091,6.477073814766789,0.8968890765765766,2.8744196813230607,1.0
1.1,0,0.9982244318181818,6.836939675984387,0.9631193693693694,1.4098395721925097,1.0
1.1,1,0.9979403409090909,6.814756883327769,0.9578406531531531,2.1427636958299243,1.0
1.1,2,0.9971590909090909,6.839075072846973,0.9635416666666666,1.5564872021182699,1.0
1.2,0,0.9993607954545455,6.930265217914881,0.9802224099099099,1.278067806780677,1.0
1.2,1,0.9990767045454545,6.913411609149998,0.9759290540540541,1.2310720207627344,1.0
1.2,2,0.9990767045454545,6.9292516421806996,0.9809262387387387,2.1653893431671163,1.0
1.3,0,0.9996448863636364,6.961049365503803,0.9870495495495496,1.2043290043290047,1.0
1.3,1,0.9996448863636364,6.959972093688584,0.9856418918918919,0.9298701298701292,1.0
1.3,2,0.9995028409090909,6.96069243890565,0.9881052927927928,0.7040726264027224,1.0
1.4,0,0.9999289772727272,6.977984657409947,0.9933136261261262,0.9057547956630494,1.0
1.4,1,0.9998579545454546,6.978655800889204,0.9918355855855856,0.809764309764311,1.0
1.4,2,0.9997869318181818,6.976786772414968,0.9917652027027027,0.7706032285471525,1.0
1.5,0,1.0,6.986502362224745,0.9956362612612613,0.0,0.0
1.5,1,0.9999289772727272,6.988350944889898,0.9958474099099099,0.9057547956630492,1.0
1.5,2,0.9998579545454546,6.9833868876677005,0.9953547297297297,0.8097643097643109,1.0
1.6,0,1.0,6.989001642560072,0.9966216216216216,0.0,0.0
1.6,1,1.0,6.99169481981982,0.9974662162162162,0.0,0.0
1.6,2,0.9998579545454546,6.990093265237742,0.9974662162162162,0.8097643097643109,1.0
1.7,0,1.0,6.992767814787292,0.9987331081081081,0.0,0.0
1.7,1,0.9999289772727272,6.9931024774774775,0.9982404279279279,0.9974979149291643,1.0
1.7,2,0.9999289772727272,6.9915009228953995,0.9980292792792793,0.9057547956630492,1.0
1.8,0,1.0,6.993893940913418,0.9985219594594594,0.0,0.0
1.8,1,1.0,6.993524774774775,0.9982404279279279,0.0,0.0
1.8,2,0.9999289772727272,6.99366554054054,0.9985923423423423,0.9057547956630492,1.0
