model,model_tag,arch,window,temp,pair,generation,hamming
distilroberta-base,distilroberta-base,local,1,0.6,1,18,16.0
distilroberta-base,distilroberta-base,local,1,0.6,1,19,19.0
distilroberta-base,distilroberta-base,local,1,0.6,1,20,18.0
distilroberta-base,distilroberta-base,local,1,0.6,1,21,16.0
distilroberta-base,distilroberta-base,local,1,0.6,1,22,21.0
distilroberta-base,distilroberta-base,local,1,0.6,1,23,19.0
distilroberta-base,distilroberta-base,local,1,0.6,1,24,23.0
distilroberta-base,distilroberta-base,local,1,0.6,1,25,18.0
distilroberta-base,distilroberta-base,local,1,0.6,1,26,20.0
distilroberta-base,distilroberta-base,local,1,0.6,1,27,20.0
distilroberta-base,distilroberta-base,local,1,0.6,1,28,14.0
distilroberta-base,distilroberta-base,local,1,0.6,1,29,15.0
distilroberta-base,distilroberta-base,local,1,0.6,1,30,17.0
distilroberta-base,distilroberta-base,local,1,0.6,1,31,18.0
distilroberta-base,distilroberta-base,local,1,0.6,1,32,18.0
distilroberta-base,distilroberta-base,local,1,0.6,1,33,20.0
distilroberta-base,distilroberta-base,local,1,0.6,1,34,18.0
distilroberta-base,distilroberta-base,local,1,0.6,1,35,16.0
distilroberta-base,distilroberta-base,local,1,0.6,1,36,21.0
distilroberta-base,distilroberta-base,local,1,0.6,1,37,20.0
distilroberta-base,distilroberta-base,local,1,0.6,1,38,19.0
distilroberta-base,distilroberta-base,local,1,0.6,1,39,20.0
distilroberta-base,distilroberta-base,local,1,0.6,1,40,20.0
distilroberta-base,distilroberta-base,local,1,0.6,1,41,15.0
distilroberta-base,distilroberta-base,local,1,0.6,1,42,17.0
distilroberta-base,distilroberta-base,local,1,0.6,1,43,14.0
distilroberta-base,distilroberta-base,local,1,0.6,1,44,14.0
distilroberta-base,distilroberta-base,local,1,0.6,1,45,11.0
distilroberta-base,distilroberta-base,local,1,0.6,1,46,15.0
distilroberta-base,distilroberta-base,local,1,0.6,1,47,12.0
distilroberta-base,distilroberta-base,local,1,0.6,1,48,12.0
distilroberta-base,distilroberta-base,local,1,0.6,1,49,9.0
distilroberta-base,distilroberta-base,local,1,0.6,1,50,11.0
distilroberta-base,distilroberta-base,local,1,0.6,1,51,14.0
distilroberta-base,distilroberta-base,local,1,0.6,1,52,11.0
distilroberta-base,distilroberta-base,local,1,0.6,1,53,14.0
distilroberta-base,distilroberta-base,local,1,0.6,1,54,14.0
distilroberta-base,distilroberta-base,local,1,0.6,1,55,15.0
distilroberta-base,distilroberta-base,local,1,0.6,1,56,15.0
distilroberta-base,distilroberta-base,local,1,0.6,1,57,17.0
distilroberta-base,distilroberta-base,local,1,0.6,1,58,12.0
distilroberta-base,distilroberta-base,local,1,0.6,1,59,10.0
distilroberta-base,distilroberta-base,local,1,0.6,1,60,7.0
distilroberta-base,distilroberta-base,local,1,0.6,1,61,6.0
distilroberta-base,distilroberta-base,local,1,0.6,1,62,5.0
distilroberta-base,distilroberta-base,local,1,0.6,1,63,5.0
distilroberta-base,distilroberta-base,local,1,0.6,1,64,3.0
distilroberta-base,distilroberta-base,local,1,0.6,1,65,5.0
distilroberta-base,distilroberta-base,local,1,0.6,1,66,4.0
distilroberta-base,distilroberta-base,local,1,0.6,1,67,4.0
distilroberta-base,distilroberta-base,local,1,0.6,1,68,3.0
distilroberta-base,distilroberta-base,local,1,0.6,1,69,2.0
distilroberta-base,distilroberta-base,local,1,0.6,1,70,1.0
distilroberta-base,distilroberta-base,local,1,0.6,1,71,1.0
distilroberta-base,distilroberta-base,local,1,0.6,1,72,2.0
distilroberta-base,distilroberta-base,local,1,0.6,1,73,2.0
distilroberta-base,distilroberta-base,local,1,0.6,1,74,1.0
distilroberta-base,distilroberta-base,local,1,0.6,1,75,2.0
distilroberta-base,distilroberta-base,local,1,0.6,1,76,2.0
distilroberta-base,distilroberta-base,local,1,0.6,1,77,2.0
distilroberta-base,distilroberta-base,local,1,0.6,1,78,0.0
distilroberta-base,distilroberta-base,local,1,0.6,1,79,0.0
distilroberta-base,distilroberta-base,local,1,0.6,1,80,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,0,1.0
distilroberta-base,distilroberta-base,local,1,0.6,2,1,1.0
distilroberta-base,distilroberta-base,local,1,0.6,2,2,1.0
distilroberta-base,distilroberta-base,local,1,0.6,2,3,2.0
distilroberta-base,distilroberta-base,local,1,0.6,2,4,2.0
distilroberta-base,distilroberta-base,local,1,0.6,2,5,2.0
distilroberta-base,distilroberta-base,local,1,0.6,2,6,2.0
distilroberta-base,distilroberta-base,local,1,0.6,2,7,2.0
distilroberta-base,distilroberta-base,local,1,0.6,2,8,2.0
distilroberta-base,distilroberta-base,local,1,0.6,2,9,2.0
distilroberta-base,distilroberta-base,local,1,0.6,2,10,2.0
distilroberta-base,distilroberta-base,local,1,0.6,2,11,2.0
distilroberta-base,distilroberta-base,local,1,0.6,2,12,2.0
distilroberta-base,distilroberta-base,local,1,0.6,2,13,2.0
distilroberta-base,distilroberta-base,local,1,0.6,2,14,1.0
distilroberta-base,distilroberta-base,local,1,0.6,2,15,2.0
distilroberta-base,distilroberta-base,local,1,0.6,2,16,2.0
distilroberta-base,distilroberta-base,local,1,0.6,2,17,2.0
distilroberta-base,distilroberta-base,local,1,0.6,2,18,2.0
distilroberta-base,distilroberta-base,local,1,0.6,2,19,2.0
distilroberta-base,distilroberta-base,local,1,0.6,2,20,1.0
distilroberta-base,distilroberta-base,local,1,0.6,2,21,1.0
distilroberta-base,distilroberta-base,local,1,0.6,2,22,2.0
distilroberta-base,distilroberta-base,local,1,0.6,2,23,1.0
distilroberta-base,distilroberta-base,local,1,0.6,2,24,1.0
distilroberta-base,distilroberta-base,local,1,0.6,2,25,1.0
distilroberta-base,distilroberta-base,local,1,0.6,2,26,1.0
distilroberta-base,distilroberta-base,local,1,0.6,2,27,1.0
distilroberta-base,distilroberta-base,local,1,0.6,2,28,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,29,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,30,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,31,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,32,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,33,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,34,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,35,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,36,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,37,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,38,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,39,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,40,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,41,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,42,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,43,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,44,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,45,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,46,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,47,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,48,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,49,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,50,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,51,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,52,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,53,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,54,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,55,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,56,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,57,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,58,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,59,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,60,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,61,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,62,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,63,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,64,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,65,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,66,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,67,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,68,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,69,0.0
distilroberta-base,distilroberta-base,local,1,0.6,2,70,0.0
