temp,seed,activity,entropy,live,tau_int,xi
0.0,0,0.028984375,3.814514903085219,0.9825959158415841,11.977644756264082,10.0
0.0,1,0.02640625,3.8131346965673325,0.9829053217821783,11.728605488637777,10.0
0.0,2,0.0275,3.805499978295892,0.9851485148514851,11.867788881841712,10.0
0.025,0,0.638671875,2.3899352657710824,0.5790532178217822,6.693699215965787,1.0
0.025,1,0.657265625,2.375326263023622,0.552444306930693,2.9439622738262328,1.0
0.025,2,0.651015625,2.32918270518964,0.5523669554455446,4.53270896509596,1.0
0.05,0,0.653046875,2.400108379483341,0.5534498762376238,1.8022871946492844,1.0
0.05,1,0.630703125,2.2199263319718083,0.5604888613861386,1.4277789211777343,1.0
0.05,2,0.6365625,2.3071478961754934,0.5566986386138614,1.9640713543592712,1.0
0.075,0,0.623671875,2.1792281143861207,0.5563892326732673,5.147948233491771,1.0
0.075,1,0.61171875,2.1584988714556577,0.5367419554455446,9.29188222718881,1.0
0.075,2,0.63703125,2.331177484536436,0.5932085396039604,2.595904921273976,1.0
0.1,0,0.646015625,2.272842664875309,0.5610303217821783,3.045447499270311,1.0
0.1,1,0.633671875,2.3743048358738714,0.5383663366336634,6.394157107463068,1.0
0.1,2,0.661015625,2.2805844021754127,0.5576268564356436,3.5852572168953567,1.0
0.125,0,0.648125,2.220975660626503,0.5373607673267327,4.9304898059790805,1.0
0.125,1,0.65140625,2.2818226210998134,0.5305538366336634,5.099673017414433,1.0
0.125,2,0.659375,2.291433941742293,0.5489634900990099,3.0747737843551786,1.0
0.15,0,0.63796875,2.2619455608863173,0.5448638613861386,0.8450285869629859,1.0
0.15,1,0.667421875,2.425398568448094,0.5507425742574258,1.8129295209812226,1.0
0.15,2,0.665,2.342749450036134,0.5365872524752475,1.920459512251726,1.0
0.175,0,0.647890625,2.258729515061639,0.5384436881188119,3.9223067573904493,1.0
0.175,1,0.657734375,2.384293955232911,0.5499690594059405,2.1146255870422954,1.0
0.175,2,0.65203125,2.3246276459616846,0.567450495049505,10.458193407353292,1.0
0.2,0,0.673125,2.26916431459893,0.5218904702970297,2.107355716914311,1.0
0.2,1,0.6409375,2.3179286457783164,0.5658261138613861,2.736608591487359,1.0
0.2,2,0.662890625,2.3923464639696315,0.5578589108910891,2.0294818337665212,1.0
