K_codebook,MC_mean,MC_std,C_inst_mean,C_temporal_mean,log2K_bits
16,0.3992933317264659,0.0013765271379610478,0.7308039991611014,0.15663238420389441,4.0
24,0.4829779040560593,0.028951442556032603,0.655835747200737,0.0896002985455191,4.58
32,0.3154220480000369,0.00170406245834398,0.5886463988084567,0.03375849472192899,5.0
